Age,MonthlyIncome,TotalWorkingYears,YearsAtCompany,JobLevel,Education
28,4898,5,4,2,3
49,4789,10,3,2,2
29,3180,4,3,1,1
28,6549,8,8,2,1
33,6388,14,0,2,5
32,11244,10,5,3,3
54,16032,26,14,4,4
29,2362,11,9,1,4
44,16328,24,20,4,3
39,8376,9,2,3,3
46,16606,23,13,4,3
35,8606,11,11,3,3
23,2272,5,4,2,1
40,2018,15,5,1,4
34,7083,10,10,3,3
31,4084,7,7,1,3
50,14411,32,32,4,5
34,2308,12,11,1,2
42,4841,4,1,1,3
37,4285,10,10,2,3
29,9715,9,7,2,1
33,4320,5,5,2,3
45,2132,8,5,1,3
42,10124,24,20,3,3
40,5473,9,8,2,2
33,5207,15,15,2,4
40,16437,21,21,4,2
24,2296,2,1,1,2
40,4069,8,2,2,2
45,7441,10,10,3,4
35,2430,6,5,1,4
32,5878,12,7,2,2
36,2644,7,3,1,4
48,6439,18,8,2,4
29,2451,5,1,1,3
33,6392,8,2,2,4
30,9714,10,10,2,3
38,6077,10,6,2,4
35,2450,3,3,1,3
30,9250,9,4,3,4
35,2074,1,1,1,3
53,10169,34,33,3,5
38,4855,7,5,2,3
32,4087,9,6,2,4
48,2367,10,8,1,4
34,2972,1,1,1,4
55,19586,36,36,5,5
34,5484,9,2,2,4
26,2061,1,1,1,3
38,9924,10,9,2,3
38,4198,8,3,2,3
36,6815,15,1,2,4
29,4723,10,10,1,1
35,6142,10,5,2,4
39,8237,11,7,3,3
29,8853,6,6,2,1
50,19331,27,1,5,3
23,2073,4,2,1,3
36,5562,9,3,2,4
42,19613,24,1,5,2
35,3407,10,10,2,3
34,5063,8,8,2,4
40,4639,5,5,2,2
43,4876,8,6,1,3
35,2690,1,1,1,2
46,17567,27,26,4,4
28,2408,1,1,1,3
22,2814,4,4,1,2
50,11245,32,30,4,5
32,3312,6,3,1,4
44,19049,23,22,5,3
30,2141,6,6,1,3
45,5769,10,10,2,5
45,4385,10,10,2,3
31,5332,10,5,2,4
36,4663,7,3,2,4
34,4724,9,9,2,4
49,3211,10,9,1,4
39,5377,10,7,2,5
27,4066,7,7,1,3
35,5208,16,16,2,5
28,4877,6,5,2,3
21,3117,3,2,1,1
18,1569,0,0,1,2
47,19658,27,5,5,4
39,3069,11,10,2,2
40,10435,18,18,3,3
35,4148,15,14,2,4
37,5768,9,4,2,3
39,5042,10,9,2,3
45,5770,10,10,2,2
38,7756,10,5,3,2
35,10306,15,13,3,3
37,3936,8,8,1,3
40,7945,18,4,3,3
44,5743,14,10,2,5
48,15202,23,2,4,5
35,5440,7,2,2,2
24,3760,6,6,1,1
27,3517,5,3,1,3
27,2580,6,4,1,3
40,2166,10,4,1,3
29,5869,8,5,2,3
36,8008,9,3,3,4
25,5206,7,7,2,1
39,5295,7,5,2,3
49,16413,27,4,4,4
50,13269,19,14,3,5
20,2783,2,2,1,3
34,5433,11,11,2,3
36,2013,15,4,1,3
49,13966,30,15,4,1
36,4374,4,3,2,4
36,6842,13,5,2,2
54,17426,36,10,4,5
43,17603,14,14,4,2
35,4581,13,11,2,4
38,4735,19,13,2,3
29,4187,10,10,2,3
33,5505,6,6,2,4
32,5470,10,9,2,3
31,5476,10,10,2,4
49,2587,17,2,1,3
38,2440,4,4,1,3
47,15972,29,3,4,4
49,15379,23,8,4,3
41,7082,21,2,3,2
20,2728,2,2,1,1
33,5368,7,6,2,3
36,5347,10,3,2,4
44,3195,8,2,1,3
23,3989,5,5,1,1
38,3306,7,0,1,2
53,7005,11,4,3,4
48,2655,19,9,1,2
32,1393,1,1,1,4
26,2570,7,7,1,3
55,3537,8,4,1,3
34,3986,15,15,2,2
60,10883,19,1,3,4
33,2028,14,14,1,3
37,9525,6,6,2,4
34,2929,10,10,1,3
23,2275,3,3,1,3
44,7879,9,8,3,3
35,4930,6,5,1,4
43,7847,10,10,2,3
24,4401,5,5,1,3
41,9241,10,10,3,3
29,2974,9,5,1,4
36,4502,17,13,2,4
45,10748,25,23,3,1
24,1555,1,1,1,1
47,12936,25,23,4,3
26,2305,3,3,1,4
45,16704,21,21,4,2
32,3433,10,5,1,3
31,3477,6,5,1,4
41,6430,10,3,2,3
40,6516,18,1,2,2
24,3907,6,6,1,1
46,5562,19,10,2,4
35,6883,17,7,2,4
30,2862,10,10,1,1
47,4978,4,1,2,4
46,10368,13,10,3,3
36,6134,16,2,2,5
32,6735,10,0,2,2
23,3295,3,3,1,1
31,5238,9,5,2,1
39,6472,9,9,2,3
32,9610,10,4,3,3
40,19833,21,21,5,4
45,9756,9,5,3,3
30,4968,10,9,1,4
24,2145,3,2,1,3
30,2180,6,4,1,3
31,8346,6,5,2,3
27,3445,6,6,1,3
29,2760,2,2,1,3
29,6294,10,3,2,3
30,7140,12,7,3,2
34,2932,6,5,1,4
33,5147,13,11,2,3
49,4507,8,5,2,4
33,8564,11,0,3,3
38,2468,9,6,1,2
31,8161,10,1,3,4
29,2109,1,1,1,3
30,5294,10,7,2,3
32,2718,12,7,1,4
38,5811,15,1,2,3
43,2437,6,1,1,3
42,2766,7,5,1,3
55,19038,34,1,5,3
33,3055,11,9,2,3
41,2289,5,5,1,4
34,4001,15,15,2,3
53,12965,27,3,4,4
43,3539,10,9,1,3
34,6029,6,2,2,2
21,2679,1,1,1,1
38,3702,5,5,1,2
22,2398,1,1,1,1
31,5468,13,12,2,4
51,13116,15,2,3,3
37,4189,5,5,2,2
46,19328,24,2,5,4
36,8321,15,12,3,3
44,2342,6,5,1,2
37,4071,19,10,2,2
35,5813,10,10,2,3
33,3143,14,10,1,4
28,2044,5,5,1,3
39,13464,9,4,3,1
46,7991,6,2,2,2
40,3377,7,4,1,2
42,5538,10,0,2,3
35,5762,15,7,2,2
38,2592,13,11,1,3
34,5346,11,7,2,4
37,4213,10,10,2,4
39,4127,7,2,2,3
43,2438,7,3,1,3
41,6870,11,3,2,3
41,10447,23,22,3,1
30,9667,9,7,3,3
26,2148,6,5,1,2
46,8926,13,9,2,2
40,6513,12,5,2,3
34,6799,10,10,2,2
58,16291,37,16,4,3
35,2705,6,5,1,4
47,10333,28,22,3,3
40,4448,15,7,2,3
54,6854,14,7,2,4
31,9637,9,3,3,4
28,3591,3,3,1,3
38,5405,20,4,2,4
26,4684,5,5,2,3
58,15787,23,2,4,4
18,1514,0,0,1,3
31,2956,2,1,1,5
29,2335,4,2,1,3
45,5154,10,8,2,4
36,6962,15,1,2,4
43,5675,7,7,2,4
27,2379,6,5,1,2
29,3812,11,11,1,1
32,4648,4,0,2,4
42,2936,10,6,1,4
47,2105,7,2,1,4
46,8578,12,9,3,2
28,2706,3,3,1,2
29,6384,11,7,2,1
42,3968,8,0,1,3
32,9907,7,2,2,4
46,13225,25,19,4,3
27,3540,9,9,2,1
29,2804,1,1,1,1
43,19392,21,16,5,3
48,19665,29,22,5,3
29,2439,1,1,1,2
46,7314,14,8,3,3
27,4774,8,7,1,3
39,3902,7,2,2,4
55,2662,19,5,1,4
28,2856,1,1,1,3
30,1081,1,1,1,3
22,2472,1,1,1,1
36,5673,10,10,2,4
31,4197,10,10,2,3
34,9713,9,5,3,3
29,2062,11,3,1,3
37,4284,16,5,2,4
35,4788,4,3,2,2
45,5906,10,9,2,2
36,3886,10,10,2,1
40,16823,22,19,4,4
26,2933,1,1,1,2
27,6500,9,8,2,2
48,17174,24,22,4,3
44,5033,10,2,2,4
34,2307,5,5,1,4
56,2587,5,4,1,2
36,5507,12,4,2,2
41,4393,14,5,2,3
42,13348,18,13,3,3
31,6583,8,5,2,2
34,8103,9,4,2,1
31,3978,4,2,1,3
26,2544,8,7,1,3
45,5399,12,4,2,4
33,5487,10,10,2,4
28,6834,7,7,2,2
29,1091,1,1,1,3
39,5736,10,3,2,4
27,2226,6,5,1,4
34,5747,16,15,2,4
28,9854,6,2,2,2
47,5467,16,8,2,4
56,5380,6,0,2,5
39,5151,10,10,2,2
38,2133,20,20,2,3
58,17875,29,1,4,3
32,2432,8,4,1,2
38,4771,10,5,1,2
49,19161,28,5,5,1
42,5087,14,0,2,4
27,2863,1,1,1,3
35,5561,6,5,2,4
28,2144,5,5,1,3
31,3065,4,4,1,2
36,2810,5,5,1,4
34,9888,14,14,3,3
34,8628,9,8,3,4
26,2867,8,7,1,3
29,5373,6,5,2,3
32,6667,9,5,2,4
31,5003,10,10,2,3
28,2367,6,4,1,3
38,2858,20,1,1,3
35,5204,10,10,2,4
27,4105,7,7,2,3
32,9679,8,1,2,4
31,5617,10,10,2,4
53,10448,15,2,3,4
54,2897,9,4,2,2
33,5968,9,9,2,2
43,7510,10,10,3,3
38,2991,7,6,1,4
55,19636,35,10,5,4
31,1129,1,1,1,1
39,13341,21,20,4,4
42,4332,20,20,2,2
31,11031,13,11,3,3
54,4440,9,5,2,3
24,4617,4,4,2,2
23,2647,5,5,1,2
40,6323,10,10,2,3
40,5677,15,11,2,2
25,2187,6,2,1,3
30,3748,12,12,1,2
25,3977,7,2,1,1
47,8633,25,17,3,3
33,2008,1,1,1,2
38,4440,16,15,2,4
31,3067,3,2,1,2
38,5321,10,8,2,4
42,5410,9,4,2,4
41,2782,12,5,1,3
47,11957,14,13,3,1
35,2660,5,2,1,4
22,3375,4,3,1,2
35,5098,10,10,2,4
33,4878,10,9,2,2
32,2837,6,6,1,4
40,2406,8,1,1,4
32,2269,3,2,1,4
39,4108,18,7,2,1
38,13206,20,18,3,3
32,10422,14,14,3,4
37,13744,16,16,3,3
25,4907,6,5,2,2
52,3482,16,9,1,4
44,2436,6,4,1,3
21,2380,2,2,1,1
39,19431,21,6,5,3
23,1790,1,1,1,3
36,7644,10,9,3,3
36,5131,18,4,2,2
56,6306,13,13,2,4
29,4787,4,2,1,4
42,18880,24,22,5,3
56,2339,14,10,1,2
41,13570,21,20,4,4
34,6712,8,8,2,3
36,5406,15,15,2,4
41,8938,14,5,2,3
32,2439,4,4,1,3
35,8837,9,9,3,4
38,5343,10,10,2,2
50,6728,12,6,2,4
36,6652,8,6,2,4
45,4850,8,5,2,3
40,2809,8,2,1,4
35,5689,10,10,2,4
40,2001,20,5,1,4
35,2977,4,4,1,4
29,4025,10,4,2,2
29,3785,5,5,1,4
50,10854,20,3,3,3
39,12031,21,20,4,1
31,9936,10,9,2,3
26,2966,5,4,1,3
36,2571,17,5,2,2
39,9991,9,7,3,1
27,6142,6,6,2,3
49,5390,17,9,2,3
34,4404,6,4,2,3
